DATE,SALES_REGION,REVENUE,COGS,FORECASTED_REVENUE
2024-04-06,Bogota,2238.87,252.33,9465.69
2024-04-06,Medellin,2213.86,3630.93,915.93
2024-04-06,Cali,4361.08,258.31,824.95
2024-04-06,Barranquilla,1975.02,1120.85,111.66
2024-04-06,Cartagena,1043.08,115.04,1536.89
2024-04-07,Bogota,953.93,2153.73,744.67
2024-04-07,Medellin,7975.96,337.25,1702.47
2024-04-07,Cali,2308.52,703.6,1994.12
2024-04-07,Barranquilla,4460.11,1235.28,579.36
2024-04-07,Cartagena,166.61,3118.95,9941.46
2024-04-08,Bogota,646.03,1137.54,780.48
2024-04-08,Medellin,2374.52,278.82,4396.02
2024-04-08,Cali,296.41,1974.58,2273.37
2024-04-08,Barranquilla,2442.44,1425.87,1798.47
2024-04-08,Cartagena,4441.68,27.26,1683.82
2024-04-09,Bogota,5820.91,357.72,4378.58
2024-04-09,Medellin,489.77,509.51,6238.04
2024-04-09,Cali,1801.31,1513.28,2077.35
2024-04-09,Barranquilla,6433.68,1708.01,1515.17
2024-04-09,Cartagena,3743.73,5966.22,5188.21
2024-04-10,Bogota,3365.67,652.77,865.09
2024-04-10,Medellin,818.03,1277.08,5638.49
2024-04-10,Cali,1155.74,1049.31,959.99
2024-04-10,Barranquilla,3770.46,965.24,145.15
2024-04-10,Cartagena,937.05,552.23,1753.33
2024-04-11,Bogota,4205.18,226.8,653.77
2024-04-11,Medellin,2095.34,2341.26,1150.2
2024-04-11,Cali,4667.15,724.13,633.25
2024-04-11,Barranquilla,3601.38,3076.92,7965.27
2024-04-11,Cartagena,2209.12,918.83,6730.41
2024-04-12,Bogota,1630.94,238.81,1680.29
2024-04-12,Medellin,1867.15,1538.16,4144.19
2024-04-12,Cali,4326.39,3547.24,656.18
2024-04-12,Barranquilla,2313.69,320.01,2710.99
2024-04-12,Cartagena,2561.91,577.02,2532.2
2024-04-13,Bogota,8582.11,805.33,3439.17
2024-04-13,Medellin,171.59,3997.71,10013.97
2024-04-13,Cali,508.88,432.9,770.05
2024-04-13,Barranquilla,937.79,1522.26,2073.89
2024-04-13,Cartagena,7151.57,1239.2,1845.72
2024-04-14,Bogota,2743.15,5304.41,4189.07
2024-04-14,Medellin,8801.93,2093.05,960.43
2024-04-14,Cali,1324.5,1035.09,1421.19
2024-04-14,Barranquilla,3336.56,303.96,1355.09
2024-04-14,Cartagena,3415.75,2405.54,12235.56
2024-04-15,Bogota,3461.65,457.29,6051.4
2024-04-15,Medellin,323.58,1847.22,3646.78
2024-04-15,Cali,3972.87,438.41,1229.33
2024-04-15,Barranquilla,1015.95,1229.58,1378.47
2024-04-15,Cartagena,3713.48,1616.27,960.62
2024-04-16,Bogota,3527.0,2999.39,2836.06
